id,Total Score,index,x,y,vy,vx,size
Switzerland,84,0,687.0000000000005,149.99968507234996,4.3626374641500435e-10,-1.259902352946719e-17,6
Singapore,79,1,584.5000000000003,150.00503110681345,-6.969503969690421e-9,-9.449267647100394e-18,6
USA,78,2,564.0000000000002,149.98431030014314,2.1734665847892118e-8,-9.449267647100394e-18,6
Australia,76,3,523.0000000000002,150.01318779979482,-1.826882760181117e-8,-6.299511764733595e-18,6
Canada,73,4,461.5000000000002,149.99276828032,1.0017974351606436e-8,-6.299511764733595e-18,6
UK,70,5,400.0000000000002,149.99621771912393,5.239527316270253e-9,-6.299511764733595e-18,6
UAE,67,6,338.5000000000002,150.01501855900196,-2.080494620053647e-8,-6.299511764733595e-18,6
New Zealand,65,7,297.50000000000006,142.0042472681815,-1.3518989014175285e-7,-1.6943674298490944e-18,6
Austria,65,8,297.5000000000002,158.0042361649271,1.2343793914582285e-7,-6.1800222760679e-18,6
Italy,64,9,277.00000000000017,150.00080158848962,-1.1104264663047202e-9,-4.724633823550197e-18,6
Hong Kong,61,10,215.5000000000001,149.98564083298967,1.989150204725823e-8,-3.1497558823667974e-18,6
Latvia,60,11,195.0000000000001,150.01052679915946,-1.4582590123861033e-8,-3.1497558823667974e-18,6
Malta,59,12,174.5000000000001,149.96847909352564,4.366535852776011e-8,-3.1497558823667974e-18,6
Hungary,58,13,154.00000000000006,150.02058627849343,-2.8517810295178244e-8,-1.5748779411833987e-18,6
Greece,56,14,113.00000000000001,157.9970214777903,1.3343231819477487e-7,-4.136343023475954e-19,6
Portugal,56,15,113.00000000000004,141.9970325810447,-1.2519551025378642e-7,-1.1612436388358036e-18,6
-1,,-1,0,0,,,
-2,,-2,800,0,,,
-3,,-3,0,300,,,
-4,,-4,800,300,,,
